"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"1176","Sunless Sea",304650,327200,345491,18291,5.59,18.99,82,50,9.49,356669,286382,900,222,353004,15361,280476,13693,6307,2054,724,269,203,116,18.99,"",81,74,83,"Adventure",2014-07-01,74,10,734
"1177","Super Amazing Wagon Adventure",250500,130278,142382,12104,9.29,2.99,95,33,2,139639,102440,115,48,140676,9700,98806,8130,3504,1531,126,26,48,20,1.24,"",NA,84,NA,NA,2012-08-28,84,1,1406
"1178","Super Blue Fighter",463180,15032,33593,18561,123.48,0.99,70,10,0.89,35891,27292,216,209,38717,5089,28380,4357,1226,905,224,88,207,137,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179","Super House of Dead Ninjas",224820,111488,121968,10480,9.4,6.99,97,75,1.74,116273,89728,304,122,125435,9159,97580,8079,1752,1082,266,93,113,155,6.99,"",79,82,83,"Action",2013-02-18,82,2.5,1232
"1180","Super Meat Boy",40800,2388110,2430069,41959,1.76,14.99,95,90,1.49,2438361,2072719,320,115,2455439,40383,2101383,37379,39067,5112,308,57,111,14,13.99,"Team Meat",87,83,90,"Platformer",2010-10-18,83,10.5,2086
"1181","Super Meat Boy",40800,2388110,2430069,41959,1.76,14.99,95,90,1.49,2438361,2072719,320,115,2455439,40383,2101383,37379,39067,5112,308,57,111,14,13.99,"Team Meat",87,83,90,"Platformer",2010-12-01,83,10.5,2042
"1182","Super Mega Neo Pug",469730,29312,55299,25987,88.66,0.99,87,51,0.49,69165,39630,185,166,68674,6778,42045,5303,3504,1531,165,26,186,13,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","Super Mustache",438180,59878,85016,25138,41.98,0.99,76,51,0.49,122068,55706,171,182,112821,8687,49228,5739,2803,1369,159,71,176,63,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","Super Space Pug",466840,20293,42120,21827,107.56,0.99,57,51,0.49,39069,28975,222,212,45199,5499,32585,4669,1752,1082,186,52,208,57,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185","SUPERFIGHT",404770,62634,71579,8945,14.28,9.99,73,NA,0,44677,32340,310,372,38191,5054,25402,4122,7008,2165,295,277,342,287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","SuperPower 2 Steam Edition",282400,67143,72871,5728,8.53,9.99,78,75,2.49,74400,45051,1220,204,66922,6691,40994,5237,1927,1135,1626,463,224,680,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","Supraball closed testing",NA,4760,79848,75088,1577.48,9.99,67,60,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188","Supreme Commander",9350,783175,789953,6778,0.87,14.99,89,75,3.74,801010,278531,594,96,802713,23148,272768,13504,3504,1531,514,121,89,87,9.99,"THQ",86,83,45,"Strategy",2007-02-20,83,20,3422
"1189","Supreme Commander",9350,783175,789953,6778,0.87,14.99,89,75,3.74,801010,278531,594,96,802713,23148,272768,13504,3504,1531,514,121,89,87,9.99,"THQ",86,83,90,"Strategy",2007-02-20,83,20,3422
"1190","Supreme Commander Forged Alliance",NA,851822,866959,15137,1.78,14.99,97,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THQ",81,89,86,"Strategy",2007-11-09,89,15.5,3160
"1191","Supreme Ruler Cold War",73220,28561,34109,5548,19.43,9.99,68,75,2.49,33274,20750,1182,226,35388,4865,21548,3797,876,765,2481,149,280,186,9.99,"Paradox Interactive",63,70,NA,NA,2011-07-19,70,NA,1812
"1192","Surfingers",438080,15032,22223,7191,47.84,1.99,87,75,0.49,31779,23367,201,180,24526,4051,17694,3440,2978,1411,146,49,167,23,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","Surgeon Simulator",233720,1587647,1623577,35930,2.26,9.99,83,80,1.99,1628939,1389290,218,115,1609980,32742,1366118,30172,20147,3671,212,89,110,15,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","Survive in Space",467950,6012,16279,10267,170.78,7.99,83,75,1.99,23367,10281,195,214,20672,3719,6832,2138,787,889,173,139,154,140,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195","Sword of the Stars Complete Collection",42890,111238,121193,9955,8.95,9.99,91,75,2.49,121507,65240,1830,138,121055,8998,63068,6495,1575,1257,1535,215,168,132,2.49,"",NA,84,NA,NA,2010-05-28,84,NA,2229
"1196","System Shock 2",238210,698494,712689,14195,2.03,9.99,94,75,2.49,708291,420414,266,75,690067,21466,398904,16328,3153,1452,225,34,78,16,9.99,"Looking Glass Studios",92,91,90,"RPG",1999-08-11,91,13,6172
"1197","System Shock Enhanced Edition",NA,36828,44446,7618,20.69,9.99,92,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",85,77,NA,NA,2015-09-22,77,NA,286
"1198","Tabletop Simulator",286160,647385,755843,108458,16.75,19.99,93,50,9.99,824003,739322,822,276,814100,23311,745426,22308,74455,7057,883,242,260,102,19.99,"",NA,71,NA,NA,2014-04-18,71,NA,808
"1199","Take On Mars",244030,64387,70545,6158,9.56,21.99,66,30,15.39,67109,62810,627,180,64294,6558,58688,6266,2102,1186,923,166,211,274,19.99,"",NA,80,NA,NA,2013-08-01,80,NA,1068
"1200","Tales from the Borderlands",330830,507085,567980,60895,12.01,24.99,95,66,8.49,561735,356295,599,602,566208,19448,369122,15707,8759,2421,607,248,602,152,22.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201","Tales of Symphonia",372360,73908,103621,29713,40.2,19.99,68,60,7.99,105057,54398,876,185,108617,8523,51856,5890,4029,1642,856,837,131,199,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202","Tales of Zestiria",351970,136291,185795,49504,36.32,49.99,89,60,19.99,193663,160950,1744,908,184473,11107,156268,10223,15767,3248,1692,606,829,218,49.99,"",NA,84,78,"RPG",2015-10-16,84,43.5,262
"1203","Tank Universal",19200,94201,101554,7353,7.81,4.99,57,80,0.99,99449,29162,72,20,101960,8258,28205,4344,0,0,94,0,20,0,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204","Tasty Blue",345200,10271,16279,6008,58.49,5.99,90,0,5.99,17385,17198,307,219,14190,3081,13840,3043,1837,1358,217,33,194,43,5.99,"",NA,NA,NA,NA,2015-02-10,NA,NA,510
"1205","Tcheco in the Castle of Lucio",377600,17788,22998,5210,29.29,0.99,86,33,0.66,23554,17011,244,245,19271,3590,12964,2945,502,983,205,30,178,30,0.99,"",NA,75,NA,NA,2015-06-22,75,NA,378
"1206","Team Fortress Classic",20,5141752,5258345,116593,2.27,4.99,83,80,0.99,5267226,730723,586,16,5213077,58594,751382,22397,7533,2245,419,216,16,14,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207","Teddy Floppy Ear Kayaking",NA,52111,63051,10940,20.99,4.99,86,90,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-01-16,NA,NA,535
"1208","Teddy Floppy Ear Mountain Adventure",NA,57372,68219,10847,18.91,4.99,90,90,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-01-09,NA,0.916666666666667,542
"1209","Teddy Floppy Ear The Race",NA,54616,64860,10244,18.76,4.99,75,90,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-05-22,NA,2.5,409
"1210","Tennis in the Face",394290,4008,9302,5294,132.09,4.99,90,60,1.99,8973,5421,246,218,8234,2347,4905,1811,527,1031,260,42,204,42,4.99,"",NA,NA,NA,NA,2015-11-18,NA,NA,229
"1211","Terra Incognita Chapter One The Descendant",NA,247279,267193,19914,8.05,0.99,75,51,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-02-03,NA,NA,517
"1212","Terraria",105600,7427895,7592545,164650,2.22,9.99,96,50,4.99,7754750,7344057,4541,1361,7681655,70856,7278897,69016,532748,18865,4539,527,1365,103,9.99,"",83,85,90,"Action, RPG",2011-05-16,85,132,1876
"1213","TerraTech",285920,126771,140832,14061,11.09,19.99,78,30,13.99,168240,164315,993,365,155392,10194,150312,10026,15942,3266,959,208,364,53,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1214","The Baconing",18070,116248,127395,11147,9.59,14.99,76,0,14.99,129545,44490,173,33,132442,9412,44673,5467,0,0,205,0,39,0,12.99,"Hothead Games",63,52,60,"Action, RPG",2011-08-31,52,7,1769
"1215","The Banner Saga",237990,583999,624572,40573,6.95,19.99,90,75,4.99,680812,517619,575,295,632955,20560,504192,18354,11212,2739,596,201,304,71,19.99,"",80,79,86,"Strategy, RPG",2014-11-04,79,11,608
"1216","The Banner Saga 2",281640,41338,58400,17062,41.27,19.99,92,20,15.99,71035,49911,844,600,61666,6423,45724,5531,3153,1452,801,394,640,514,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217","The Beginners Guide",NA,151824,158404,6580,4.33,9.99,86,40,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",76,73,80,"Adventure",2015-10-07,73,1.5,271
"1218","The Binding of Isaac Rebirth",NA,1472901,1512979,40078,2.72,14.99,97,40,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",86,83,90,"RPG",2014-11-26,83,3.5,586
"1219","The Bluecoats North vs South",NA,16284,22481,6197,38.06,4.99,44,60,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2012-05-10,NA,NA,1516
"1220","The Book of Unwritten Tales",215160,187401,202333,14932,7.97,19.99,91,75,4.99,209926,100570,456,227,211803,11901,100908,8216,771,871,517,310,277,374,19.99,"The Adventure Company, Lace Mamba Global",82,82,NA,NA,2011-10-28,82,12.5,1711
"1221","The Book of Unwritten Tales 2",279940,52111,62276,10165,19.51,29.99,92,85,4.49,65427,34957,771,422,59214,6294,33987,4768,1577,1027,1228,363,942,395,29.99,"",80,76,NA,NA,2015-02-20,76,21.5,500
"1222","The Book of Unwritten Tales The Critter Chronicles",NA,93199,104655,11456,12.29,19.99,83,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1223","The Chaos Engine",242530,85182,92768,7586,8.91,9.99,63,0,9.99,95897,50659,101,74,95828,8006,45374,5509,0,0,177,0,73,0,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1224","The Chosen RPG",434420,94702,119126,24424,25.79,1.99,67,75,0.49,137022,74586,283,206,128763,9280,70250,6855,1402,968,231,133,199,122,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1225","The Culling",437220,461738,515524,53786,11.65,14.99,70,15,12.74,502851,485466,914,303,512951,18512,499987,18277,41344,5259,907,153,305,37,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1226","The Dark Eye Chains of Satinav",NA,241015,252981,11966,4.96,19.99,87,90,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",75,80,NA,NA,2012-06-22,80,10,1473
"1227","The Darkness II",67370,907191,940088,32897,3.63,29.99,90,80,5.99,1123470,566969,375,255,1124183,27380,561654,19370,7533,2245,367,128,263,70,29.99,"2K Games",77,75,80,"Shooter",2012-02-07,75,6,1609
"1228","The Decimation of Olarath",491250,6764,16021,9257,136.86,0.99,23,40,0.59,41499,32153,237,211,46425,5573,32585,4669,4205,1677,216,206,210,180,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229","The Deed",420740,75411,82690,7279,9.65,0.99,92,51,0.49,98701,65053,183,197,94602,7955,62192,6450,4205,1677,171,170,169,165,0.69,"",NA,NA,NA,NA,2015-11-20,NA,0.466666666666667,227
"1230","The Deed Dynasty",NA,1503,8010,6507,432.93,2.99,89,50,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","The District",357770,43843,49872,6029,13.75,0.99,23,75,0.49,48790,37574,155,162,51505,5870,37841,5031,2102,1186,174,100,188,101,0.99,"",NA,NA,NA,NA,2015-03-31,NA,NA,461
"1232","The Elder Scrolls IV Oblivion",NA,1587647,1592827,5180,0.33,14.99,95,40,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2K Games",94,80,92,"RPG",2006-03-20,80,25.5,3759
"1233","The Elder Scrolls IV Oblivion",NA,1587647,1592827,5180,0.33,14.99,95,40,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2K Games",94,80,93,"RPG",2006-03-20,80,25.5,3759
"1234","The Elder Scrolls Online Tamriel Unlimited",NA,552181,581934,29753,5.39,29.99,76,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",80,89,NA,NA,2015-03-17,89,417.5,475
"1235","The Elder Scrolls V Skyrim",NA,10477170,10645119,167949,1.6,19.99,93,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda Softworks",94,81,95,"RPG",2011-11-14,81,31.5,1694
"1236","The Elder Scrolls V Skyrim",NA,10477170,10645119,167949,1.6,19.99,93,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda Softworks",94,81,95,"RPG",2011-11-10,81,31.5,1698
"1237","The Emptiness Deluxe Edition",356160,7015,12661,5646,80.48,9.99,26,50,4.99,9160,2056,168,206,7358,2218,2277,1234,550,1076,132,90,128,90,9.99,"",NA,NA,NA,NA,2015-04-09,NA,NA,452
"1238","The Escapists",298630,739081,751192,12111,1.64,17.99,91,66,6.11,776148,737827,781,333,795530,23044,758215,22498,39242,5124,747,84,348,29,14.99,"",71,69,76,"Action, Strategy",2015-02-13,69,22.5,507
"1239","The Escapists The Walking Dead",NA,55368,60984,5616,10.14,17.99,64,66,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",66,58,NA,NA,2015-09-30,58,NA,278
"1240","The Falling Sun",333740,25554,47288,21734,85.05,4.99,51,90,0.49,63931,44864,201,209,59914,6331,42746,5347,1402,968,208,206,210,253,4,"",NA,NA,NA,NA,2015-04-07,NA,NA,454
"1241","The First Templar",57680,93449,102071,8622,9.23,9.99,71,0,9.99,111225,43369,293,81,107040,8461,34337,4793,1100,1522,251,21,67,40,9.99,"Kalypso",57,57,40,"Action, Adventure",2011-05-17,57,10.5,1875
"1242","The Floor is Jelly",295750,12025,18605,6580,54.72,9.99,84,70,2.99,16450,12711,125,39,16818,3354,12438,2884,0,0,349,0,95,0,9.99,"",83,78,NA,NA,2014-02-01,78,NA,884
"1243","The Forest",242760,2030595,2069848,39253,1.93,14.99,90,20,11.99,2273672,2176093,1060,551,2182320,38087,2067922,37082,179918,10969,1026,298,510,115,14.99,"",NA,71,NA,NA,2014-05-30,71,3,766
"1244","The Fruit of Grisaia",345610,20543,26874,6331,30.82,39.99,95,50,19.99,29162,19067,820,329,23650,3978,16117,3283,526,593,939,1166,385,1166,36.99,"",NA,79,NA,NA,2015-05-29,79,19.5,402
"1245","The Golf Club",269730,30815,37985,7170,23.27,29.99,63,75,7.49,41312,39817,3104,372,43272,5380,41520,5270,3854,1605,2417,872,348,169,27.99,"",70,58,70,"Sports",2014-08-19,58,NA,685
"1246","The Graveyard",27020,22798,28683,5885,25.81,4.99,63,50,2.49,25423,11777,81,13,23475,3963,8935,2445,0,0,46,0,12,0,4.99,"",NA,41,NA,NA,2008-03-21,41,0.25,3027
"1247","The Guest",402040,8518,13695,5177,60.78,9.99,82,70,2.99,13833,9347,199,166,11562,2781,8759,2421,701,684,252,207,193,291,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","The Hat Man Shadow Ward",NA,329204,351693,22489,6.83,1.99,71,75,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,32,NA,NA,2014-06-05,32,NA,760
"1249","The Howler",306040,260307,285540,25233,9.69,1.99,80,75,0.49,331994,203944,186,169,316916,14555,195335,11429,7183,2192,173,141,163,183,0.99,"",NA,NA,NA,NA,2014-07-03,NA,0.983333333333333,732
"1250","The Incredible Adventures of Van Helsing",215530,757120,764887,7767,1.03,14.99,85,66,5.09,810544,572390,620,240,789398,22955,555172,19258,4555,1745,571,252,236,145,14.99,"",72,82,70,"Action, RPG",2013-05-22,82,12,1139
"1251","The Isle",376210,40085,48322,8237,20.55,19.99,70,33,13.39,59819,56828,2744,347,59914,6331,58163,6238,22074,3843,1945,413,482,71,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1252","The Jackbox Party Pack",331670,113492,134372,20880,18.4,24.99,91,65,8.74,143191,128236,612,296,142078,9748,128238,9261,9460,2515,492,95,254,68,22.99,"",NA,79,NA,NA,2014-11-26,79,NA,586
"1253","The Jackbox Party Pack 2",397460,67644,96386,28742,42.49,24.99,90,65,8.74,157398,98140,434,233,157845,10274,93901,7925,15942,3266,418,124,234,80,22.99,"",NA,NA,NA,NA,2015-10-13,NA,NA,265
"1254","THE KING OF FIGHTERS 98 ULTIMATE MATCH FINAL EDITION",NA,86184,93802,7618,8.84,14.99,79,80,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1255","The Kings Crusade",NA,68897,78814,9917,14.39,9.99,40,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paradox Interactive",71,69,50,"Strategy",2010-11-02,69,NA,2071
"1256","The Last Door Collectors Edition",NA,44845,53232,8387,18.7,9.99,95,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257","The Last Door Season 2 Collectors Edition",NA,3256,9044,5788,177.76,9.99,97,60,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258","The Last Leviathan",489460,0,13178,13178,0,9.99,89,10,8.99,27853,24862,189,108,29432,4437,27329,4276,1927,1135,203,53,94,70,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259","The Last Photon",461570,23550,47030,23480,99.7,3.99,77,87,0.51,68231,51968,314,263,54133,6018,40994,5237,1051,838,276,82,272,126,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","The Legend of Heroes Trails in the Sky",NA,186148,203625,17477,9.39,19.99,92,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",85,85,NA,NA,2014-07-29,85,40.5,706
"1261","The Legend of Heroes Trails in the Sky SC",NA,22548,27908,5360,23.77,29.99,97,35,19.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",80,81,NA,NA,2015-10-29,81,NA,249
"1262","The Legend of Korra",281690,218216,224556,6340,2.91,14.99,83,50,7.49,218151,164128,329,193,219336,12110,164852,10500,2978,1411,389,132,193,74,14.99,"",64,74,42,"Action",2014-10-21,74,4,622
"1263","The LEGO Movie Videogame",NA,274086,279339,5253,1.92,19.99,84,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",68,68,65,"Action, Adventure",2014-02-07,68,NA,878
"1264","The Long Dark",305620,690978,715015,24037,3.48,19.99,94,66,6.79,775961,700814,978,290,723878,21984,658182,20965,52206,5910,899,355,276,55,19.99,"",NA,90,NA,NA,2014-09-22,90,NA,651
"1265","The Lost Souls",453670,7516,17571,10055,133.78,1.99,34,75,0.49,18319,12525,204,216,17694,3440,11562,2781,701,684,211,61,202,62,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266","The Mean Greens Plastic Warfare",NA,76914,91476,14562,18.93,9.99,75,25,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-12-08,NA,NA,209
"1267","The Next Door",447850,68897,100262,31365,45.52,2.99,60,0,2.99,139265,88980,202,205,140501,9694,87419,7647,7008,2165,205,110,207,113,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268","The Night of the Rabbit",230820,224480,248071,23591,10.51,19.99,91,90,4.99,254043,97205,429,204,245264,12806,98806,8130,2453,1281,396,556,183,755,19.99,"",75,75,79,"Adventure",2013-05-28,75,9.5,1133
"1269","The Note",345920,3256,9302,6046,185.69,5.99,32,60,2.39,66361,2056,2,3,62717,6477,1927,1135,1285,1124,16,5,22,5,5.99,"",NA,NA,NA,NA,2015-07-23,NA,NA,347
"1270","The Odyssey",416080,115998,137731,21733,18.74,4.99,60,90,0.49,137022,92906,242,214,137172,9578,90572,7784,876,765,202,39,212,46,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271","The Park",402020,38833,51940,13107,33.75,12.99,69,50,6.49,48229,39630,111,87,43797,5413,35388,4865,2008,1966,125,97,89,66,12.99,"",68,68,70,"Adventure",2015-10-27,68,1.5,251
"1272","The Purring Quest",409100,9019,17571,8552,94.82,9.99,85,70,2.99,14768,11590,144,111,13139,2965,9285,2492,701,684,150,27,92,30,9.99,"",NA,NA,NA,NA,2015-11-12,NA,1.5,235
"1273","The Raven Legacy of a Master Thief",NA,80923,88375,7452,9.21,24.99,75,90,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",74,68,NA,NA,2013-10-24,68,11,984
"1274","The Red Solstice",265590,65139,107497,42358,65.03,19.99,83,60,7.99,132723,70100,969,137,136822,9566,69199,6804,1402,968,515,178,160,257,19.99,"",74,80,NA,NA,2015-07-09,80,NA,361
"1275","The Room",288160,103220,139023,35803,34.69,4.99,96,75,1.24,150855,115712,223,176,141202,9718,108792,8530,4730,1779,303,1165,190,110,4.99,"",73,83,NA,NA,2014-07-28,83,NA,707
"1276","The Secret of Monkey Island Special Edition",NA,495059,501311,6252,1.26,9.99,95,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LucasArts",86,91,87,"Adventure",2009-07-15,91,NA,2546
"1277","The Secret Order 2 Masked Intent",NA,9019,16796,7777,86.23,9.99,80,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-11-05,NA,NA,242
"1278","The Secret World",215280,327701,342132,14431,4.4,29.99,85,66,10.19,334985,306758,2732,737,341092,15099,314463,14499,7358,2218,2910,752,827,208,29.99,"",74,82,70,"RPG",2012-07-03,82,NA,1462
"1279","The Ship Remasted",NA,9770,22481,12711,130.1,19.99,61,66,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1280","The Silent Age",352520,70651,79331,8680,12.29,9.99,94,75,2.49,94401,31405,327,173,78660,7254,23125,3933,1100,1522,182,512,174,997,9.99,"",NA,80,NA,NA,2015-05-29,80,3,402
"1281","The SimsTM 3",NA,859839,947065,87226,10.14,19.99,85,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","The Solus Project",313630,31567,43670,12103,38.34,19.99,81,20,15.99,56641,47481,226,76,64995,6594,53257,5969,4905,1811,252,69,99,39,18.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1283","The Stanley Parable",221910,1843945,1898265,54320,2.95,14.99,91,80,2.99,1921864,1599777,222,132,1913406,35678,1593162,32572,19971,3655,230,55,136,36,11.99,"",88,80,88,"Adventure",2013-10-18,80,NA,990
"1284","The Swapper",231160,639618,653772,14154,2.21,14.99,97,80,2.99,679316,343584,182,88,683585,21365,349501,15284,3504,1531,173,64,82,46,13.99,"",87,87,93,"Platformer",2013-05-30,87,5,1131
"1285","The Talos Principle",257510,599282,634391,35109,5.86,39.99,96,75,9.99,687728,506964,780,363,653978,20898,489826,18091,15767,3248,824,302,336,65,39.99,"",85,85,83,"Puzzle, Adventure",2014-12-09,85,16,573
"1286","The Technomancer",338390,0,22998,22998,0,44.99,NA,15,38.24,40191,34770,701,255,32059,4631,29081,4411,5431,1906,646,355,221,125,44.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1287","The Tiny Bang Story",96000,149319,161505,12186,8.16,4.99,90,60,1.99,161137,96084,350,252,145231,9855,91448,7821,1028,1005,328,77,239,96,4.99,"Colibri Games",63,75,NA,NA,2011-04-22,75,3.5,1900
"1288","The Ultimate DOOM",2280,398602,415520,16918,4.24,4.99,91,40,2.99,422657,207496,113,17,435343,17056,212854,11930,6132,2025,143,236,20,37,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","The Vanishing of Ethan Carter",258520,358266,411385,53119,14.83,19.99,89,80,3.99,424152,263950,223,169,425182,16856,259103,13162,4380,1711,236,115,157,39,18.99,"",82,82,85,"Adventure",2014-09-25,82,4,648
"1290","The Vanishing of Ethan Carter",258520,358266,411385,53119,14.83,19.99,89,80,3.99,424152,263950,223,169,425182,16856,259103,13162,4380,1711,236,115,157,39,18.99,"",82,82,85,"Adventure",2014-10-02,82,4,641
"1291","The Walking Dead",207610,1982742,2031862,49120,2.48,24.99,97,75,6.24,1999441,1683710,765,680,2046900,36894,1724203,33878,17694,3440,771,156,680,98,22.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1292","The Walking Dead Michonne",NA,61631,89926,28295,45.91,14.99,79,50,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1293","The Walking Dead Season Two",NA,1043232,1061281,18049,1.73,24.99,96,75,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1294","The Whispered World Special Edition",268540,263062,275462,12400,4.71,19.99,75,90,1.99,295542,80381,250,123,278374,13642,82338,7421,1927,1135,267,109,112,166,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1295","The Witcher 2 Assassins of Kings Enhanced Edition",NA,3945442,4115406,169964,4.31,19.99,88,85,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
