"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"368","Serious Sam Double D XXL","449,712 ±20,748","463,842 ±21,401","14,130","3.14%","$9.99","90% ($0.99)","87% (N/A)"
"228","Reus","802,216 ±27,695","816,311 ±28,375","14,095","1.76%","$9.99","75% ($2.49)","82% (75%)"
"679","FINAL FANTASY III","135,289 ±11,385","149,359 ±12,150","14,070","10.4%","$15.99","50% ($7.99)","82% (68%)"
"706","TerraTech","126,771 ±11,021","140,832 ±11,798","14,061","11.09%","$19.99","30% ($13.99)","78% (N/A)"
"1225","METAL SLUG 2","10,773 ±3,213","24,807 ±4,952","14,034","130.27%","$6.99","50% ($3.49)","89% (N/A)"
"652","Melissa K. and the Heart of Gold Collector's Edition","150,572 ±12,011","164,605 ±12,754","14,033","9.32%","$9.99","85% ($1.49)","69% (N/A)"
"943","Anno 2205","58,875 ±7,511","72,871 ±8,487","13,996","23.77%","$39.99","40% ($23.99)","56% (72%)"
"758","Fran Bow","105,726 ±10,065","119,642 ±10,874","13,916","13.16%","$14.99","50% ($7.49)","96% (70%)"
"546","Oddworld: Stranger's Wrath HD","218,467 ±14,466","232,308 ±15,151","13,841","6.34%","$9.99","75% ($2.49)","84% (N/A)"
"710","Ratventure Challenge","125,769 ±10,977","139,540 ±11,744","13,771","10.95%","$9.99","90% ($0.99)","65% (N/A)"
"570","Driver San Francisco","199,426 ±13,822","213,186 ±14,514","13,760","6.9%","$19.99","50% ($9.99)","72% (80%)"
"175","Warhammer 40,000 Space Marine","1,078,808 ±32,103","1,092,549 ±32,812","13,741","1.27%","$29.99","75% ($7.49)","92% (74%)"
"857","Millie","75,411 ±8,501","89,150 ±9,387","13,739","18.22%","$3.99","86% ($0.55)","82% (N/A)"
"997","TheOrbChambers","50,357 ±6,947","64,085 ±7,959","13,728","27.26%","$4.99","50% ($2.49)","100% (N/A)"
"1103","Knights of Pen and Paper 2","31,066 ±5,456","44,704 ±6,648","13,638","43.9%","$7.99","50% ($3.99)","83% (N/A)"
"1229","Crazy Chicken","11,274 ±3,287","24,807 ±4,952","13,533","120.04%","$1.99","50% ($0.99)","89% (N/A)"
"1322","Final Approach: Pilot Edition","0 ±0","13,437 ±3,645","13,437","0%","$24.99","0% ($24.99)","63% (N/A)"
"1324","Paranormal Psychosis","0 ±0","13,437 ±3,645","13,437","0%","$0.99","40% ($0.59)","32% (N/A)"
"676","Lilly and Sasha: Curse of the Immortals","137,043 ±11,459","150,393 ±12,192","13,350","9.74%","$4.99","90% ($0.49)","82% (N/A)"
"424","Dungeon Siege 2","367,035 ±18,746","380,376 ±19,382","13,341","3.63%","$6.99","75% ($1.74)","81% (80%)"
"369","Costume Quest","448,710 ±20,725","462,033 ±21,359","13,323","2.97%","$9.99","90% ($0.99)","92% (N/A)"
"461","Assassins Creed Unity","308,660 ±17,192","321,976 ±17,834","13,316","4.31%","$39.99","50% ($19.99)","52% (N/A)"
"370","BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien","448,209 ±20,713","461,516 ±21,347","13,307","2.97%","$14.99","80% ($2.99)","92% (85%)"
"1028","Escape Dead Island","44,094 ±6,501","57,366 ±7,531","13,272","30.1%","$14.99","80% ($3.99)","58% (52%)"
"823","Demolition, Inc.","84,681 ±9,008","97,936 ±9,839","13,255","15.65%","$5.99","0% ($5.99)","79% (N/A)"
"1313","Drawful 2","2,004 ±1,386","15,246 ±3,882","13,242","660.78%","$9.99","10% ($8.99)","89% (N/A)"
"1326","12 Labours of Hercules V: Kids of Hellas","0 ±0","13,178 ±3,609","13,178","0%","$2.99","90% ($0.49)","87% (N/A)"
"1328","The Last Leviathan","0 ±0","13,178 ±3,609","13,178","0%","$9.99","10% ($8.99)","89% (N/A)"
"919","Ignite","64,888 ±7,886","78,039 ±8,783","13,151","20.27%","$9.99","50% ($4.99)","55% (59%)"
"1060","The Park","38,833 ±6,100","51,940 ±7,166","13,107","33.75%","$12.99","50% ($6.49)","69% (67%)"
"784","Black Mirror","95,955 ±9,589","109,048 ±10,382","13,093","13.64%","$9.99","90% ($0.99)","75% (N/A)"
"981","Pro Cycling Manager 2015","54,366 ±7,218","67,444 ±8,165","13,078","24.06%","$19.99","33% ($13.39)","55% (N/A)"
"639","SpellForce 2: Gold Edition","160,844 ±12,414","173,908 ±13,110","13,064","8.12%","$14.99","75% ($3.74)","70% (80%)"
"527","Mini Metro","234,752 ±14,995","247,813 ±15,648","13,061","5.56%","$9.99","30% ($6.99)","96% (77%)"
"707","Obulis","127,272 ±11,043","140,315 ±11,776","13,043","10.25%","$4.99","80% ($0.99)","84% (N/A)"
"1239","Refunct","11,023 ±3,250","24,031 ±4,874","13,008","118.01%","$2.99","50% ($1.49)","95% (N/A)"
"571","Agarest: Generations of War","199,426 ±13,822","212,411 ±14,488","12,985","6.51%","$14.99","60% ($5.99)","76% (45%)"
"995","BloodRayne","51,359 ±7,016","64,343 ±7,975","12,984","25.28%","$9.99","90% ($0.99)","N/A (65%)"
"419","DLC Quest","372,046 ±18,874","385,027 ±19,500","12,981","3.49%","$2.99","67% ($0.98)","88% (N/A)"
"490","Starseed Pilgrim","271,080 ±16,113","283,990 ±16,750","12,910","4.76%","$5.99","20% ($4.79)","55% (83%)"
"698","Fortune Summoners: Secret of the Elemental Stone","130,529 ±11,183","143,416 ±11,906","12,887","9.87%","$19.99","75% ($4.99)","89% (N/A)"
"968","Crypt of the Necrodancer Soundtrack","56,120 ±7,334","68,994 ±8,259","12,874","22.94%","$9.99","75% ($2.49)","97% (N/A)"
"593","Earth 2160","186,398 ±13,363","199,232 ±14,031","12,834","6.89%","$4.99","87% ($0.64)","65% (73%)"
"765","Stigmat","103,972 ±9,981","116,800 ±10,745","12,828","12.34%","$4.99","81% ($0.94)","83% (N/A)"
"397","Evoland","399,104 ±19,547","411,902 ±20,168","12,798","3.21%","$9.99","75% ($2.49)","83% (61%)"
"1035","Rabi-Ribi","43,092 ±6,426","55,816 ±7,428","12,724","29.53%","$17.99","25% ($13.49)","97% (N/A)"
"1256","The Ship: Remasted","9,770 ±3,060","22,481 ±4,714","12,711","130.1%","$19.99","66% ($6.79)","61% (N/A)"
"915","Castlevania: Lords of Shadow  Mirror of Fate HD","65,891 ±7,946","78,556 ±8,812","12,665","19.22%","$14.99","75% ($3.74)","81% (N/A)"
"500","Blocks That Matter","263,062 ±15,873","275,721 ±16,504","12,659","4.81%","$4.99","50% ($2.49)","79% (72%)"
"868","Steredenn","73,407 ±8,387","86,049 ±9,223","12,642","17.22%","$12.99","35% ($8.44)","90% (N/A)"
"1114","Sakura Beach","30,565 ±5,412","43,154 ±6,532","12,589","41.19%","$9.99","75% ($2.49)","80% (N/A)"
"883","Avernum 4","71,152 ±8,257","83,724 ±9,097","12,572","17.67%","$4.99","70% ($1.49)","88% (N/A)"
"1083","Ys VI: The Ark of Napishtim","37,079 ±5,961","49,614 ±7,003","12,535","33.81%","$19.99","70% ($5.99)","90% (N/A)"
"413","Commandos: Beyond the Call of Duty","379,061 ±19,050","391,488 ±19,663","12,427","3.28%","$3.99","85% ($0.59)","79% (N/A)"
"521","King Arthur - The Role-playing Wargame","247,279 ±15,390","259,700 ±16,018","12,421","5.02%","$9.99","75% ($2.49)","77% (N/A)"
"501","The Whispered World Special Edition","263,062 ±15,873","275,462 ±16,497","12,400","4.71%","$19.99","90% ($1.99)","75% (N/A)"
"672","STAR WARSâ„¢ Galactic Battlegrounds Saga","139,298 ±11,553","151,685 ±12,244","12,387","8.89%","$5.99","50% ($2.99)","85% (N/A)"
"660","Fieldrunners","147,064 ±11,870","159,437 ±12,553","12,373","8.41%","$4.99","75% ($1.24)","65% (N/A)"
"937","Lucius II","61,381 ±7,670","73,646 ±8,532","12,265","19.98%","$19.99","85% ($2.99)","N/A (48%)"
"750","STAR WARSâ„¢ Rebellion","110,235 ±10,277","122,485 ±11,003","12,250","11.11%","$5.99","50% ($2.99)","83% (N/A)"
"303","Child of Light","586,505 ±23,689","598,731 ±24,309","12,226","2.08%","$14.99","75% ($3.74)","92% (77%)"
"996","Thea: The Awakening","51,860 ±7,050","64,085 ±7,959","12,225","23.57%","$19.99","40% ($11.99)","90% (73%)"
"1250","Stories: The Path of Destinies","10,773 ±3,213","22,998 ±4,768","12,225","113.48%","$14.99","30% ($10.49)","86% (74%)"
"436","Bulletstorm","347,744 ±18,247","359,962 ±18,856","12,218","3.51%","$19.99","75% ($4.99)","78% (82%)"
"770","Greed: Black Border","100,966 ±9,836","113,182 ±10,577","12,216","12.1%","$4.99","66% ($1.69)","39% (N/A)"
"949","LEGOÂ® MARVEL's Avengers","59,627 ±7,559","71,837 ±8,427","12,210","20.48%","$39.99","33% ($26.79)","85% (N/A)"
"294","Thief: Deadly Shadows","618,824 ±24,332","631,032 ±24,955","12,208","1.97%","$8.99","75% ($2.24)","88% (85%)"
"656","The Tiny Bang Story","149,319 ±11,961","161,505 ±12,634","12,186","8.16%","$4.99","60% ($1.99)","90% (63%)"
"805","Day One: Garry's Incident","90,944 ±9,335","103,104 ±10,095","12,160","13.37%","$2.99","50% ($1.49)","18% (N/A)"
"1338","Caribbean Odyssey","0 ±0","12,145 ±3,465","12,145","0%","$2.99","50% ($1.49)","N/A (N/A)"
"1339","Zero Escape: Zero Time Dilemma","0 ±0","12,145 ±3,465","12,145","0%","$39.99","0% ($39.99)","N/A (78%)"
"736","Enemy Front","114,996 ±10,497","127,136 ±11,210","12,140","10.56%","$29.99","90% ($2.99)","58% (52%)"
"969","Crypt of the NecroDancer Extended Soundtrack","56,871 ±7,382","68,994 ±8,259","12,123","21.32%","$4.99","% ($0)","96% (N/A)"
"1015","PULSAR: Lost Colony","48,353 ±6,807","60,467 ±7,731","12,114","25.05%","$24.99","25% ($18.74)","92% (N/A)"
"256","The Escapists","739,081 ±26,586","751,192 ±27,222","12,111","1.64%","$17.99","66% ($6.11)","91% (71%)"
"522","Grey Goo","245,525 ±15,335","257,632 ±15,954","12,107","4.93%","$29.99","66% ($10.19)","69% (77%)"
"700","Super Amazing Wagon Adventure","130,278 ±11,173","142,382 ±11,863","12,104","9.29%","$2.99","33% ($2)","95% (N/A)"
"1113","The Solus Project","31,567 ±5,500","43,670 ±6,571","12,103","38.34%","$19.99","20% ($15.99)","81% (67%)"
"1070","Nuclear Shot","38,582 ±6,081","50,647 ±7,076","12,065","31.27%","$0.99","85% ($0.59)","53% (N/A)"
"178","Ace of Spades","1,057,763 ±31,789","1,069,809 ±32,470","12,046","1.14%","$14.99","75% ($3.74)","68% (N/A)"
"354","DiggerOnline","473,262 ±21,283","485,290 ±21,889","12,028","2.54%","$9.99","0% ($9.99)","44% (N/A)"
"894","Etherlords II","69,899 ±8,184","81,915 ±8,998","12,016","17.19%","$4.99","60% ($1.99)","83% (78%)"
"793","Shadowgate","93,951 ±9,488","105,947 ±10,233","11,996","12.77%","$14.99","85% ($2.24)","90% (68%)"
"524","The Dark Eye: Chains of Satinav","241,015 ±15,194","252,981 ±15,810","11,966","4.96%","$19.99","90% ($1.99)","87% (75%)"
"608","LEGO Jurassic World","173,621 ±12,897","185,536 ±13,541","11,915","6.86%","$29.99","66% ($10.19)","82% (72%)"
"806","Weapons Genius","91,195 ±9,348","103,104 ±10,095","11,909","13.06%","$4.99","0% ($4.99)","57% (N/A)"
"809","Paint the Town Red","90,443 ±9,309","102,329 ±10,057","11,886","13.14%","$9.99","20% ($7.99)","93% (N/A)"
"545","Post Apocalyptic Mayhem","221,473 ±14,565","233,342 ±15,184","11,869","5.36%","$9.99","60% ($3.99)","84% (44%)"
"738","Defend Your Life","114,495 ±10,474","126,361 ±11,176","11,866","10.36%","$4.99","80% ($0.99)","85% (N/A)"
"474","Town of Salem","294,129 ±16,783","305,955 ±17,385","11,826","4.02%","$4.99","33% ($3.34)","90% (N/A)"
"1163","Caveman World: Mountains of Unga Boonga","22,047 ±4,597","33,851 ±5,785","11,804","53.54%","$1.99","83% ($0.5)","71% (N/A)"
"625","Sacred Gold","167,358 ±12,662","179,076 ±13,303","11,718","7%","$9.99","85% ($1.49)","82% (74%)"
"1135","Yumsters! 2: Around the World!","27,308 ±5,116","39,019 ±6,211","11,711","42.88%","$4.99","75% ($1.24)","75% (N/A)"
"775","Nyctophobia","100,464 ±9,812","112,149 ±10,529","11,685","11.63%","$1.99","0% ($1.99)","46% (N/A)"
"395","Commandos: Behind Enemy Lines","404,114 ±19,669","415,778 ±20,263","11,664","2.89%","$3.99","85% ($0.59)","85% (N/A)"
"808","Evoland 2","90,694 ±9,322","102,329 ±10,057","11,635","12.83%","$19.99","50% ($9.99)","91% (N/A)"
"874","WASTED","73,156 ±8,373","84,757 ±9,153","11,601","15.86%","$12.99","25% ($9.74)","84% (68%)"
"1024","Hard West","46,850 ±6,701","58,400 ±7,598","11,550","24.65%","$19.99","50% ($9.99)","78% (73%)"
"1080","Elven Legacy: Magic","38,081 ±6,041","49,614 ±7,003","11,533","30.29%","$1.99","66% ($0.67)","60% (N/A)"
"1081","Elven Legacy: Siege","38,081 ±6,041","49,614 ±7,003","11,533","30.29%","$1.99","66% ($0.67)","50% (N/A)"
"892","Avernum 5","70,651 ±8,228","82,173 ±9,013","11,522","16.31%","$4.99","70% ($1.49)","87% (N/A)"
"532","Hatoful Boyfriend","234,752 ±14,995","246,262 ±15,599","11,510","4.9%","$9.99","75% ($2.49)","94% (68%)"
"1311","VA-11 HALL-A","4,259 ±2,020","15,762 ±3,947","11,503","270.09%","$14.99","0% ($14.99)","97% (N/A)"
"319","Dungeons of Dredmor","554,436 ±23,033","565,913 ±23,635","11,477","2.07%","$4.99","50% ($2.49)","95% (79%)"
"137","L.A. Noire","1,384,713 ±36,353","1,396,178 ±37,075","11,465","0.83%","$19.99","75% ($4.99)","86% (83%)"
"799","The Book of Unwritten Tales: The Critter Chronicles","93,199 ±9,450","104,655 ±10,171","11,456","12.29%","$19.99","75% ($4.99)","83% (73%)"
"430","Dungeon Siege","356,262 ±18,469","367,714 ±19,057","11,452","3.21%","$6.99","75% ($1.74)","76% (86%)"
"429","Unreal Tournament 2004","361,022 ±18,592","372,366 ±19,177","11,344","3.14%","$14.99","80% ($2.99)","N/A (93%)"
"180","Serious Sam HD: The First Encounter","1,043,232 ±31,571","1,054,563 ±32,239","11,331","1.09%","$14.99","90% ($1.49)","94% (68%)"
"583","Call of Duty","195,668 ±13,691","206,984 ±14,301","11,316","5.78%","$19.99","50% ($9.99)","92% (91%)"
"932","Kivi, Toilet and Shotgun","62,634 ±7,747","73,904 ±8,547","11,270","17.99%","$0.99","51% ($0.49)","52% (N/A)"
"829","SimplePlanes","84,681 ±9,008","95,869 ±9,735","11,188","13.21%","$12.99","40% ($7.79)","92% (67%)"
"420","Steel Storm: Burning Retribution","372,296 ±18,880","383,477 ±19,461","11,181","3%","$14.99","50% ($7.49)","67% (55%)"
"696","Dragon Age: Origins - Awakening","133,034 ±11,290","144,191 ±11,938","11,157","8.39%","$9.99","75% ($4.99)","93% (82%)"
"733","The Baconing","116,248 ±10,554","127,395 ±11,221","11,147","9.59%","$14.99","0% ($14.99)","76% (63%)"
"920","AKIBA'S TRIP: Undead & Undressed","66,642 ±7,991","77,780 ±8,769","11,138","16.71%","$29.99","50% ($14.99)","87% (N/A)"
"502","Sakura Spirit","263,814 ±15,896","274,946 ±16,481","11,132","4.22%","$9.99","80% ($1.99)","80% (N/A)"
"1146","Freddi Fish and The Case of the Missing Kelp Seeds","25,053 ±4,900","36,177 ±5,980","11,124","44.4%","$6.99","60% ($2.79)","94% (N/A)"
"611","Chantelise","172,869 ±12,869","183,986 ±13,484","11,117","6.43%","$9.99","75% ($2.49)","76% (62%)"
"1346","Six Sides of the World","0 ±0","11,111 ±3,314","11,111","0%","$4.99","94% ($0.49)","85% (N/A)"
"873","Chicken Shoot Gold","73,657 ±8,401","84,757 ±9,153","11,100","15.07%","$6.99","0% ($6.99)","57% (N/A)"
"261","Sid Meier's Pirates!","722,796 ±26,292","733,878 ±26,907","11,082","1.53%","$9.99","75% ($2.49)","94% (88%)"
"425","ArcaniA","369,039 ±18,797","380,118 ±19,376","11,079","3%","$19.99","80% ($3.99)","47% (63%)"
"742","Bloody Good Time","113,242 ±10,417","124,294 ±11,084","11,052","9.76%","$4.99","50% ($2.49)","77% (73%)"
"448","Tropico 3: Absolute Power","325,947 ±17,667","336,964 ±18,244","11,017","3.38%","$9.99","% ($0)","92% (79%)"
"557","Flesh Eaters","210,700 ±14,207","221,714 ±14,801","11,014","5.23%","$1.99","75% ($0.49)","79% (N/A)"
"1128","Winged Knights: Penetration","29,312 ±5,300","40,311 ±6,313","10,999","37.52%","$0.99","51% ($0.49)","26% (N/A)"
"437","Final DOOM","348,996 ±18,280","359,962 ±18,856","10,966","3.14%","$4.99","50% ($2.49)","86% (N/A)"
"346","Painkiller Hell & Damnation","488,294 ±21,618","499,244 ±22,201","10,950","2.24%","$19.99","90% ($1.99)","77% (64%)"
"756","Runaway: A Twist of Fate","109,985 ±10,266","120,934 ±10,933","10,949","9.95%","$9.99","75% ($2.49)","88% (79%)"
"1002","Teddy Floppy Ear - Kayaking","52,111 ±7,067","63,051 ±7,895","10,940","20.99%","$4.99","90% ($0.49)","86% (N/A)"
"779","World War III: Black Gold","100,464 ±9,812","111,373 ±10,492","10,909","10.86%","$4.99","0% ($4.99)","48% (71%)"
"214","No Time To Explain Remastered","864,099 ±28,741","874,969 ±29,374","10,870","1.26%","$14.99","75% ($3.74)","85% (N/A)"
"1013","Nethergate: Resurrection","49,856 ±6,912","60,725 ±7,748","10,869","21.8%","$4.99","70% ($1.49)","89% (N/A)"
"972","Teddy Floppy Ear - Mountain Adventure","57,372 ±7,415","68,219 ±8,212","10,847","18.91%","$4.99","90% ($0.49)","90% (N/A)"
"763","Shantae and the Pirate's Curse","106,477 ±10,101","117,317 ±10,768","10,840","10.18%","$19.99","50% ($9.99)","97% (N/A)"
"704","Rage Parking Simulator 2016","130,779 ±11,194","141,607 ±11,830","10,828","8.28%","$3.99","87% ($0.51)","46% (N/A)"
"563","ibb & obb","204,688 ±14,003","215,512 ±14,593","10,824","5.29%","$11.99","60% ($4.79)","94% (83%)"
"884","Avernum 6","72,906 ±8,358","83,724 ±9,097","10,818","14.84%","$4.99","70% ($1.49)","90% (N/A)"
"1068","Elven Legacy: Ranger","39,835 ±6,179","50,647 ±7,076","10,812","27.14%","$1.99","66% ($0.67)","66% (68%)"
"462","Quake","310,915 ±17,255","321,718 ±17,827","10,803","3.47%","$4.99","50% ($2.49)","96% (94%)"
"845","Hexcells Plus","79,670 ±8,738","90,442 ±9,455","10,772","13.52%","$2.99","70% ($0.89)","94% (N/A)"
"989","Garshasp: The Monster Slayer","54,867 ±7,251","65,635 ±8,055","10,768","19.63%","$4.99","85% ($0.74)","48% (49%)"
"1086","Munin","38,081 ±6,041","48,839 ±6,948","10,758","28.25%","$9.99","90% ($0.99)","81% (68%)"
"1044","Dragon's Lair","43,593 ±6,464","54,265 ±7,324","10,672","24.48%","$9.99","50% ($4.99)","79% (N/A)"
"270","Tomb Raider II","701,501 ±25,903","712,172 ±26,507","10,671","1.52%","$6.99","75% ($1.74)","89% (N/A)"
"869","F1 2010","75,160 ±8,487","85,791 ±9,209","10,631","14.14%","$9.99","75% ($2.49)","71% (84%)"
"399","Vertiginous Golf","395,847 ±19,467","406,475 ±20,035","10,628","2.68%","$9.99","55% ($4.49)","57% (63%)"
"1106","Mini Attack Submarine","33,822 ±5,693","44,446 ±6,629","10,624","31.41%","$0.99","51% ($0.49)","27% (N/A)"
"465","Lethal League","304,902 ±17,088","315,516 ±17,654","10,614","3.48%","$13.99","66% ($4.75)","96% (82%)"
"1166","Catlateral Damage","22,798 ±4,674","33,334 ±5,741","10,536","46.21%","$9.99","50% ($4.99)","90% (N/A)"
"1126","SENRAN KAGURA SHINOVI VERSUS","30,314 ±5,390","40,828 ±6,353","10,514","34.68%","$29.99","10% ($26.99)","95% (70%)"
"895","JumpJet Rex","71,402 ±8,272","81,915 ±8,998","10,513","14.72%","$9.99","66% ($3.39)","97% (76%)"
"359","Sniper Elite: Nazi Zombie Army","465,496 ±21,108","475,987 ±21,679","10,491","2.25%","$14.99","70% ($4.49)","88% (62%)"
"714","Broken Sword 5 - the Serpent's Curse","128,274 ±11,086","138,765 ±11,711","10,491","8.18%","$24.99","75% ($6.24)","87% (N/A)"
"751","Super House of Dead Ninjas","111,488 ±10,336","121,968 ±10,980","10,480","9.4%","$6.99","75% ($1.74)","97% (79%)"
"408","Dead Rising 3","382,819 ±19,145","393,297 ±19,708","10,478","2.74%","$29.99","70% ($14.99)","N/A (N/A)"
"1038","Secret Ponchos","44,845 ±6,556","55,299 ±7,394","10,454","23.31%","$14.99","0% ($14.99)","73% (N/A)"
"382","From Dust","430,922 ±20,310","441,360 ±20,876","10,438","2.42%","$14.99","50% ($7.49)","63% (76%)"
"534","Uncrowded","233,499 ±14,955","243,937 ±15,525","10,438","4.47%","$0.99","51% ($0.49)","27% (N/A)"
"558","Heroes of Might & Magic V: Hammers of Fate","208,195 ±14,122","218,613 ±14,697","10,418","5%","$9.99","50% ($4.99)","82% (66%)"
"499","Legendary","265,317 ±15,941","275,721 ±16,504","10,404","3.92%","$2.99","80% ($0.59)","52% (50%)"
"1096","4 Elements","35,075 ±5,798","45,479 ±6,705","10,404","29.66%","$3.99","80% ($0.79)","85% (N/A)"
"492","Jazzpunk","272,583 ±16,157","282,956 ±16,719","10,373","3.81%","$14.99","0% ($14.99)","90% (75%)"
"782","Bloons TD5","98,961 ±9,738","109,306 ±10,394","10,345","10.45%","$9.99","50% ($4.99)","92% (N/A)"
"453","Dwarfs!","320,936 ±17,531","331,279 ±18,089","10,343","3.22%","$9.99","75% ($2.49)","78% (N/A)"
"925","Hexcells Infinite","65,891 ±7,946","76,230 ±8,681","10,339","15.69%","$4.99","70% ($1.49)","98% (N/A)"
"1064","Total Annihilation","41,087 ±6,275","51,423 ±7,130","10,336","25.16%","$4.99","75% ($1.24)","95% (86%)"
"258","Universe Sandbox","739,833 ±26,599","750,158 ±27,203","10,325","1.4%","$9.99","0% ($9.99)","81% (83%)"
"242","Fallout","772,653 ±27,182","782,976 ±27,791","10,323","1.34%","$9.99","50% ($4.99)","93% (89%)"
"882","Heli Heroes","73,407 ±8,387","83,724 ±9,097","10,317","14.05%","$4.99","0% ($4.99)","33% (N/A)"
"584","A Bird Story","195,668 ±13,691","205,951 ±14,266","10,283","5.26%","$3.99","70% ($1.19)","83% (66%)"
"620","Defender's Quest: Valley of the Forgotten","170,865 ±12,794","181,144 ±13,379","10,279","6.02%","$14.99","50% ($7.49)","97% (N/A)"
"1307","Survive in Space","6,012 ±2,400","16,279 ±4,012","10,267","170.78%","$7.99","75% ($1.99)","83% (N/A)"
"992","Teddy Floppy Ear - The Race","54,616 ±7,235","64,860 ±8,007","10,244","18.76%","$4.99","90% ($0.49)","75% (N/A)"
"901","Tree of Life: Beginning of a Journey","70,901 ±8,243","81,140 ±8,956","10,239","14.44%","$19.99","30% ($13.99)","78% (N/A)"
"511","Craft The World","257,801 ±15,714","267,969 ±16,271","10,168","3.94%","$18.99","80% ($3.79)","90% (N/A)"
"1005","The Book of Unwritten Tales 2","52,111 ±7,067","62,276 ±7,846","10,165","19.51%","$29.99","85% ($4.49)","92% (80%)"
"154","Crusader Kings II","1,244,412 ±34,470","1,254,571 ±35,152","10,159","0.82%","$39.99","75% ($9.99)","92% (82%)"
"878","Gumboy: Crazy Adventures","74,158 ±8,430","84,241 ±9,125","10,083","13.6%","$4.99","66% ($1.69)","48% (69%)"
"879","Gumboy Crazy Features","74,158 ±8,430","84,241 ±9,125","10,083","13.6%","$4.99","66% ($1.69)","48% (69%)"
"1289","Ghost","8,267 ±2,815","18,346 ±4,259","10,079","121.92%","$12.99","50% ($6.49)","94% (N/A)"
"292","Unreal Tournament 3: Black Edition","624,336 ±24,440","634,391 ±25,021","10,055","1.61%","$19.99","80% ($3.99)","N/A (83%)"
"1298","The Lost Souls","7,516 ±2,684","17,571 ±4,168","10,055","133.78%","$1.99","75% ($0.49)","34% (N/A)"
"383","Lost Planet: Extreme Condition","425,410 ±20,180","435,417 ±20,735","10,007","2.35%","$14.99","75% ($3.74)","74% (66%)"
"1174","Cubot","21,796 ±4,570","31,784 ±5,605","9,988","45.82%","$1.99","75% ($0.49)","95% (N/A)"
"644","BlazBlue: Calamity Trigger","160,593 ±12,404","170,549 ±12,983","9,956","6.2%","$9.99","75% ($2.49)","87% (N/A)"
"753","Sword of the Stars Complete Collection","111,238 ±10,324","121,193 ±10,945","9,955","8.95%","$9.99","75% ($2.49)","91% (75%)"
"1004","Haegemonia: Legions of Iron","52,612 ±7,101","62,534 ±7,862","9,922","18.86%","$4.99","78% ($1.97)","61% (N/A)"
"451","DiRT Rally","323,943 ±17,613","333,863 ±18,160","9,920","3.06%","$59.99","40% ($35.99)","91% (86%)"
"914","The Kings' Crusade","68,897 ±8,126","78,814 ±8,827","9,917","14.39%","$9.99","75% ($2.49)","40% (71%)"
"1269","Sherlock Holmes: The Devil's Daughter","10,021 ±3,099","19,897 ±4,435","9,876","98.55%","$49.99","30% ($34.99)","72% (N/A)"
"780","Majesty: Gold Edition","100,214 ±9,799","110,081 ±10,431","9,867","9.85%","$9.99","75% ($2.49)","93% (N/A)"
"1282","BASEBALL STARS 2","9,019 ±2,940","18,863 ±4,318","9,844","109.15%","$7.99","50% ($3.99)","85% (N/A)"
"1066","Wyatt Derp","41,588 ±6,313","51,423 ±7,130","9,835","23.65%","$0.99","51% ($0.49)","27% (N/A)"
"1157","Sakura Beach 2","24,803 ±4,875","34,626 ±5,851","9,823","39.6%","$9.99","66% ($3.39)","69% (N/A)"
"640","Ys I","163,600 ±12,519","173,391 ±13,090","9,791","5.98%","$14.99","70% ($4.49)","87% (N/A)"
"641","Ys II","163,600 ±12,519","173,391 ±13,090","9,791","5.98%","$14.99","70% ($4.49)","87% (N/A)"
"529","Her Story","237,257 ±15,075","247,038 ±15,623","9,781","4.12%","$5.99","50% ($2.99)","90% (86%)"
"893","Sherlock Holmes: Nemesis","72,404 ±8,330","82,173 ±9,013","9,769","13.49%","$9.99","75% ($2.49)","76% (71%)"
"1236","Putt-Putt Joins the Parade","14,531 ±3,732","24,290 ±4,900","9,759","67.16%","$6.99","60% ($2.79)","94% (N/A)"
"794","Reassembly","95,955 ±9,589","105,688 ±10,221","9,733","10.14%","$14.99","50% ($7.49)","93% (N/A)"
"717","From The Depths","127,522 ±11,054","137,214 ±11,645","9,692","7.6%","$19.99","70% ($5.99)","89% (N/A)"
"375","Penumbra: Overture","447,958 ±20,707","457,640 ±21,257","9,682","2.16%","$9.99","80% ($1.99)","93% (73%)"
"1183","Putt-Putt Saves the Zoo","20,293 ±4,410","29,975 ±5,444","9,682","47.71%","$6.99","60% ($2.79)","96% (N/A)"
"1042","Game Corp DX","44,845 ±6,556","54,524 ±7,342","9,679","21.58%","$2.99","50% ($1.49)","88% (N/A)"
"732","Journey of a Roach","118,002 ±10,633","127,653 ±11,233","9,651","8.18%","$14.99","90% ($1.49)","88% (65%)"
"1144","Over the Dream","26,807 ±5,069","36,435 ±6,002","9,628","35.92%","$3.99","% ($0)","93% (N/A)"
"1343","bit Dungeon+","2,004 ±1,386","11,628 ±3,390","9,624","480.24%","$3.99","94% ($0.24)","26% (N/A)"
"1291","Welcome to the Game","8,768 ±2,899","18,346 ±4,259","9,578","109.24%","$1.99","10% ($1.79)","82% (N/A)"
"1159","Disillusions Manga Horror","24,803 ±4,875","34,368 ±5,829","9,565","38.56%","$0.99","20% ($0.55)","59% (N/A)"
"361","Blackguards","459,984 ±20,983","469,527 ±21,531","9,543","2.07%","$159.99","90% ($3.99)","63% (68%)"
